regression,introductory,which_challenge,taken_statistics_course,done_regression_before,previous_programming_experience,why_interested,cats_or_dogs
TRUE,FALSE,Regression,"Yes, but I've forgotten everything",Nope,I have a whole lot of experience,I want to get a job where I use data science,Cats 
FALSE,TRUE,Introductory,Nope,NA,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,Nope,Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a little bit of experience,It will help me in my current job,Neither 
FALSE,TRUE,Introductory,Nope,NA,I have quite a bit of experience,Just curious,Cats 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have a little bit of experience,I want to get a job where I use data science,Neither 
TRUE,TRUE,Regression; Introductory,Nope,Nope,I have a little bit of experience,Just curious,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Nope,I have a whole lot of experience,I want to get a job where I use data science,Cats 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a whole lot of experience,It will help me in my current job,Both 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a little bit of experience,It will help me in my current job,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have quite a bit of experience,I want to get a job where I use data science,Neither 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have quite a bit of experience,NA,Both 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Nope,I have a whole lot of experience,It will help me in my current job,Dogs 
FALSE,TRUE,Introductory,Yep,NA,I have quite a bit of experience,NA,Both 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Nope,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,"Yes, but I've forgotten everything",Yep,I have quite a bit of experience,It will help me in my current job,Cats 
FALSE,TRUE,Introductory,Nope,NA,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a whole lot of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,"Yes, but I've forgotten everything",Yep,I have quite a bit of experience,I want to get a job where I use data science,NA
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have a little bit of experience,It will help me in my current job,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have a little bit of experience,It will help me in my current job,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a little bit of experience,It will help me in my current job,Dogs 
TRUE,FALSE,Regression,Yep,NA,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,NA,I have a little bit of experience,Just curious,Dogs 
TRUE,FALSE,Regression,Yep,NA,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Nope,I have quite a bit of experience,I want to get a job where I use data science,Both 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have quite a bit of experience,I want to get a job where I use data science,Both 
TRUE,FALSE,Regression,Yep,Yep,I have a whole lot of experience,I want to get a job where I use data science,Neither 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,It will help me in my current job,Cats 
TRUE,FALSE,Regression,"Yes, but I've forgotten everything",Nope,I have a little bit of experience,It will help me in my current job,Cats 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a little bit of experience,I want to get a job where I use data science,Cats 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a whole lot of experience,It will help me in my current job,Neither 
FALSE,TRUE,Introductory,Nope,NA,I have a whole lot of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have a little bit of experience,I want to get a job where I use data science,Both 
TRUE,TRUE,Regression; Introductory,Yep,Yep,Nope,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Nope,I have quite a bit of experience,It will help me in my current job,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Nope,I have quite a bit of experience,It will help me in my current job,Dogs 
FALSE,TRUE,Introductory,Nope,NA,I have quite a bit of experience,It will help me in my current job,Neither 
FALSE,TRUE,Introductory,Nope,NA,I have quite a bit of experience,Just curious,Both 
FALSE,TRUE,Introductory,Nope,NA,I have quite a bit of experience,I want to get a job where I use data science,Both 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Nope,I have a little bit of experience,I want to get a job where I use data science,Neither 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a whole lot of experience,I want to get a job where I use data science,Both 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,NA,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have quite a bit of experience,I want to get a job where I use data science,Both 
FALSE,TRUE,Introductory,Yep,NA,I have a little bit of experience,I want to get a job where I use data science,Neither 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,It will help me in my current job,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have a whole lot of experience,It will help me in my current job,Both 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a whole lot of experience,It will help me in my current job,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Nope,I have a whole lot of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,Yep,NA,I have quite a bit of experience,I want to get a job where I use data science,Cats 
FALSE,TRUE,Introductory,Yep,NA,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have quite a bit of experience,Just curious,Dogs 
TRUE,FALSE,Regression,Yep,Nope,I have a little bit of experience,It will help me in my current job,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,It will help me in my current job,Cats 
FALSE,TRUE,Introductory,Yep,NA,I have quite a bit of experience,It will help me in my current job,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Nope,I have quite a bit of experience,I want to get a job where I use data science,Neither 
TRUE,FALSE,Regression,Nope,Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,Nope,NA,Nope,I want to get a job where I use data science,Both 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",NA,I have a little bit of experience,It will help me in my current job,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,It will help me in my current job,Both 
TRUE,FALSE,Regression,Yep,Yep,I have a little bit of experience,It will help me in my current job,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Nope,I have a whole lot of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,Yep,NA,I have quite a bit of experience,It will help me in my current job,Dogs 
TRUE,FALSE,Regression,Yep,Nope,I have a whole lot of experience,It will help me in my current job,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a little bit of experience,I want to get a job where I use data science,Neither 
TRUE,FALSE,Regression,Yep,Yep,I have a whole lot of experience,It will help me in my current job,Dogs 
FALSE,TRUE,Introductory,Nope,NA,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a whole lot of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,Yep,NA,I have quite a bit of experience,It will help me in my current job,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a little bit of experience,I want to get a job where I use data science,Cats 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a little bit of experience,It will help me in my current job,Cats 
TRUE,FALSE,Regression,"Yes, but I've forgotten everything",NA,I have a little bit of experience,I want to get a job where I use data science,Neither 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have a little bit of experience,I want to get a job where I use data science,Neither 
TRUE,TRUE,Regression; Introductory,Yep,Nope,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,Nope,Nope,I have a whole lot of experience,I want to get a job where I use data science,Neither 
TRUE,FALSE,Regression,Yep,Yep,I have a whole lot of experience,NA,Neither 
FALSE,TRUE,Introductory,Yep,NA,I have a little bit of experience,NA,Neither 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a little bit of experience,It will help me in my current job,Dogs 
FALSE,TRUE,Introductory,Yep,NA,I have quite a bit of experience,I want to get a job where I use data science,Both 
TRUE,TRUE,Regression; Introductory,Nope,Nope,I have a little bit of experience,It will help me in my current job,Both 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Both 
FALSE,TRUE,Introductory,Yep,NA,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,"Yes, but I've forgotten everything",Yep,I have a whole lot of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,Nope,NA,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,Nope,Nope,I have quite a bit of experience,It will help me in my current job,Neither 
TRUE,TRUE,Regression; Introductory,Nope,Nope,I have quite a bit of experience,NA,Both 
FALSE,TRUE,Introductory,Yep,NA,I have quite a bit of experience,It will help me in my current job,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have quite a bit of experience,I want to get a job where I use data science,Cats 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,NA,I have a whole lot of experience,It will help me in my current job,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a whole lot of experience,I want to get a job where I use data science,Both 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Nope,I have a whole lot of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Nope,I have a whole lot of experience,It will help me in my current job,Both 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have a little bit of experience,It will help me in my current job,Dogs 
FALSE,TRUE,Introductory,Yep,NA,I have a little bit of experience,I want to get a job where I use data science,Both 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have quite a bit of experience,I want to get a job where I use data science,Both 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Neither 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,Nope,I want to get a job where I use data science,Both 
FALSE,TRUE,Introductory,Yep,NA,I have a little bit of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,Nope,NA,I have quite a bit of experience,I want to get a job where I use data science,Neither 
TRUE,TRUE,Regression; Introductory,Nope,Nope,I have quite a bit of experience,NA,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,Nope,Nope,I have quite a bit of experience,It will help me in my current job,Neither 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a whole lot of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Nope,I have quite a bit of experience,It will help me in my current job,Both 
TRUE,FALSE,Regression,Nope,Nope,I have a little bit of experience,It will help me in my current job,Cats 
FALSE,TRUE,Introductory,Yep,NA,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,Nope,NA,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,Nope,Nope,I have quite a bit of experience,NA,NA
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Cats 
FALSE,TRUE,Introductory,Yep,NA,I have quite a bit of experience,It will help me in my current job,Cats 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Cats 
FALSE,TRUE,Introductory,Nope,NA,I have quite a bit of experience,I want to get a job where I use data science,Neither 
TRUE,FALSE,Regression,Nope,Nope,I have a little bit of experience,It will help me in my current job,Dogs 
FALSE,TRUE,Introductory,Yep,NA,I have a little bit of experience,I want to get a job where I use data science,Both 
FALSE,TRUE,Introductory,Yep,NA,I have quite a bit of experience,I want to get a job where I use data science,Both 
TRUE,FALSE,Regression,"Yes, but I've forgotten everything",NA,I have a little bit of experience,I want to get a job where I use data science,Both 
TRUE,FALSE,Regression,"Yes, but I've forgotten everything",Yep,I have a little bit of experience,It will help me in my current job,Both 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a little bit of experience,It will help me in my current job,Neither 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have a whole lot of experience,It will help me in my current job,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,NA,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Neither 
FALSE,FALSE,NA,Yep,NA,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,NA,Both 
TRUE,TRUE,Regression; Introductory,Yep,Nope,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have a whole lot of experience,I want to get a job where I use data science,Cats 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Both 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,It will help me in my current job,Dogs 
TRUE,FALSE,Regression,"Yes, but I've forgotten everything",Yep,I have a whole lot of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Nope,I have a little bit of experience,It will help me in my current job,Dogs 
FALSE,TRUE,Introductory,Nope,NA,I have a whole lot of experience,Just curious,Neither 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,It will help me in my current job,Cats 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a little bit of experience,I want to get a job where I use data science,Both 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Nope,I have a little bit of experience,I want to get a job where I use data science,Both 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,It will help me in my current job,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,"Yes, but I've forgotten everything",Yep,I have quite a bit of experience,I want to get a job where I use data science,Both 
FALSE,TRUE,Introductory,Yep,NA,I have a little bit of experience,I want to get a job where I use data science,Both 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Both 
FALSE,TRUE,Introductory,Yep,NA,I have quite a bit of experience,I want to get a job where I use data science,Both 
TRUE,TRUE,Regression; Introductory,Nope,Nope,I have quite a bit of experience,I want to get a job where I use data science,Neither 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have a whole lot of experience,I want to get a job where I use data science,Both 
TRUE,FALSE,Regression,"Yes, but I've forgotten everything",Yep,I have a little bit of experience,It will help me in my current job,Cats 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a whole lot of experience,Just curious,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have quite a bit of experience,I want to get a job where I use data science,Cats 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a little bit of experience,It will help me in my current job,Dogs 
FALSE,TRUE,Introductory,Nope,NA,I have a little bit of experience,I want to get a job where I use data science,Neither 
TRUE,FALSE,Regression,"Yes, but I've forgotten everything",Yep,I have quite a bit of experience,I want to get a job where I use data science,Both 
FALSE,TRUE,Introductory,Yep,NA,I have a little bit of experience,It will help me in my current job,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have a whole lot of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Nope,I have a whole lot of experience,I want to get a job where I use data science,Cats 
FALSE,TRUE,Introductory,Yep,NA,I have quite a bit of experience,I want to get a job where I use data science,Cats 
TRUE,FALSE,Regression,Yep,Yep,I have a whole lot of experience,I want to get a job where I use data science,Cats 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a whole lot of experience,I want to get a job where I use data science,Neither 
TRUE,FALSE,Regression,Yep,Yep,Nope,Just curious,Both 
FALSE,TRUE,Introductory,Nope,NA,I have a little bit of experience,It will help me in my current job,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a little bit of experience,It will help me in my current job,Cats 
TRUE,FALSE,Regression,Yep,Nope,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,It will help me in my current job,Neither 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,It will help me in my current job,Both 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a whole lot of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have a little bit of experience,It will help me in my current job,Both 
FALSE,TRUE,Introductory,Nope,NA,Nope,It will help me in my current job,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have a whole lot of experience,I want to get a job where I use data science,Both 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have a whole lot of experience,Just curious,Neither 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,It will help me in my current job,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,It will help me in my current job,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Nope,I have a whole lot of experience,Just curious,Dogs 
FALSE,TRUE,Introductory,Yep,NA,Nope,I want to get a job where I use data science,Cats 
FALSE,TRUE,Introductory,Nope,NA,I have a whole lot of experience,I want to get a job where I use data science,Neither 
TRUE,TRUE,Regression; Introductory,Yep,NA,I have a little bit of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,Nope,NA,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,Just curious,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have quite a bit of experience,I want to get a job where I use data science,Cats 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have a little bit of experience,It will help me in my current job,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,Nope,Just curious,Both 
TRUE,FALSE,Regression,Yep,Yep,I have a whole lot of experience,It will help me in my current job,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,Nope,NA,I have quite a bit of experience,I want to get a job where I use data science,Neither 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have a whole lot of experience,NA,Cats 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a little bit of experience,Just curious,Neither 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have quite a bit of experience,It will help me in my current job,Dogs 
TRUE,FALSE,Regression,Nope,Yep,I have a whole lot of experience,Just curious,Dogs 
TRUE,FALSE,Regression,"Yes, but I've forgotten everything",Yep,I have a whole lot of experience,I want to get a job where I use data science,Neither 
FALSE,TRUE,Introductory,Yep,NA,I have a whole lot of experience,I want to get a job where I use data science,Both 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,It will help me in my current job,Cats 
TRUE,FALSE,Regression,Yep,Yep,I have a whole lot of experience,It will help me in my current job,Neither 
TRUE,FALSE,Regression,"Yes, but I've forgotten everything",Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,Yep,NA,I have a little bit of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a little bit of experience,I want to get a job where I use data science,Both 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Nope,I have a little bit of experience,It will help me in my current job,Dogs 
FALSE,TRUE,Introductory,Nope,NA,I have quite a bit of experience,NA,Both 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,It will help me in my current job,Neither 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have quite a bit of experience,NA,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Yep,I have quite a bit of experience,I want to get a job where I use data science,Cats 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Nope,I have a whole lot of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have a little bit of experience,I want to get a job where I use data science,Both 
TRUE,FALSE,Regression,"Yes, but I've forgotten everything",Nope,I have a little bit of experience,I want to get a job where I use data science,Neither 
TRUE,FALSE,Regression,Yep,Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a whole lot of experience,NA,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have a little bit of experience,I want to get a job where I use data science,Both 
FALSE,TRUE,Introductory,Nope,NA,I have a little bit of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,Nope,NA,I have a little bit of experience,Just curious,Both 
TRUE,TRUE,Regression; Introductory,Yep,Nope,I have a whole lot of experience,It will help me in my current job,Dogs 
TRUE,FALSE,Regression,Nope,Nope,I have a little bit of experience,It will help me in my current job,Dogs 
TRUE,TRUE,Regression; Introductory,Nope,Nope,I have a whole lot of experience,I want to get a job where I use data science,Both 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a little bit of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a whole lot of experience,I want to get a job where I use data science,Neither 
FALSE,TRUE,Introductory,Yep,NA,I have a whole lot of experience,NA,Cats 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have quite a bit of experience,I want to get a job where I use data science,Cats 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have quite a bit of experience,Just curious,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have quite a bit of experience,It will help me in my current job,Dogs 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have quite a bit of experience,Just curious,Dogs 
FALSE,TRUE,Introductory,Nope,NA,I have a little bit of experience,Just curious,Both 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have a little bit of experience,Just curious,Cats 
FALSE,TRUE,Introductory,Nope,NA,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,It will help me in my current job,Cats 
TRUE,FALSE,Regression,Yep,Yep,I have a whole lot of experience,Just curious,Both 
TRUE,TRUE,Regression; Introductory,Yep,NA,I have a whole lot of experience,NA,Both 
FALSE,TRUE,Introductory,Yep,NA,I have a little bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Nope,Yep,I have quite a bit of experience,I want to get a job where I use data science,Neither 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a whole lot of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,NA,I have quite a bit of experience,Just curious,Neither 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,"Yes, but I've forgotten everything",Nope,I have a whole lot of experience,Just curious,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have a whole lot of experience,I want to get a job where I use data science,Dogs 
FALSE,TRUE,Introductory,Nope,NA,I have quite a bit of experience,It will help me in my current job,Both 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have a whole lot of experience,I want to get a job where I use data science,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have a little bit of experience,It will help me in my current job,Dogs 
TRUE,TRUE,Regression; Introductory,Nope,Nope,I have quite a bit of experience,I want to get a job where I use data science,NA
TRUE,FALSE,Regression,"Yes, but I've forgotten everything",Yep,I have a whole lot of experience,I want to get a job where I use data science,Dogs 
TRUE,TRUE,Regression; Introductory,Nope,Yep,I have quite a bit of experience,I want to get a job where I use data science,Both 
TRUE,FALSE,Regression,Nope,Nope,I have a whole lot of experience,It will help me in my current job,Dogs 
TRUE,FALSE,Regression,Yep,Yep,I have quite a bit of experience,I want to get a job where I use data science,Neither 
FALSE,TRUE,Introductory,"Yes, but I've forgotten everything",NA,I have quite a bit of experience,I want to get a job where I use data science,Dogs 
